num_passengers,sales_channel,trip_type,purchase_lead,length_of_stay,flight_hour,flight_day,route,booking_origin,wants_extra_baggage,wants_preferred_seat,wants_in_flight_meals,flight_duration,booking_complete
4,Internet,RoundTrip,214,27,12,2,COKSYD,Australia,0,0,0,8.58,0
3,Internet,RoundTrip,37,4,13,5,DPSHND,Japan,0,0,0,7.57,0
1,Internet,RoundTrip,7,24,11,7,MELSGN,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,301,121,15,7,AKLKUL,Malaysia,0,1,0,8.83,0
1,Internet,RoundTrip,13,5,20,1,DELMNL,Philippines,0,0,1,5.52,1
1,Internet,RoundTrip,235,3,6,6,DPSHND,Japan,0,0,0,7.57,0
3,Mobile,RoundTrip,220,5,4,2,DELKBV,India,1,0,0,5.52,0
3,Internet,RoundTrip,86,6,14,4,PENTPE,Malaysia,1,1,0,4.67,0
1,Internet,RoundTrip,13,6,7,2,HNDSIN,Switzerland,0,0,0,7.57,0
1,Internet,RoundTrip,143,24,9,5,HANSYD,Australia,0,1,0,8.58,0
1,Mobile,RoundTrip,131,25,6,6,MELPVG,China,1,0,1,8.83,0
1,Internet,RoundTrip,81,5,17,6,MELPEN,Malaysia,1,0,1,8.83,0
2,Internet,RoundTrip,1,2,16,1,PENPER,Australia,0,0,0,5.62,0
1,Internet,RoundTrip,83,57,5,3,DMKSYD,Australia,1,1,1,8.58,0
3,Internet,RoundTrip,62,5,6,6,DELHKG,Singapore,1,1,1,5.52,0
1,Internet,RoundTrip,40,5,11,3,PUSRGN,South Korea,0,0,0,6.33,0
1,Internet,RoundTrip,66,21,9,4,DELDMK,Thailand,0,0,0,5.52,0
2,Internet,RoundTrip,181,21,0,7,AKLKUL,New Zealand,1,0,1,8.83,0
4,Internet,RoundTrip,19,6,4,5,HKTPER,Australia,0,0,0,5.62,0
2,Internet,RoundTrip,14,5,3,3,HKTKIX,Thailand,0,0,0,7.0,0
1,Internet,RoundTrip,33,84,1,6,KNOSYD,Indonesia,1,0,1,8.58,0
3,Internet,RoundTrip,61,29,6,6,DELMEL,Australia,1,1,1,8.83,0
1,Internet,RoundTrip,0,4,1,3,COKPER,Australia,1,1,1,5.62,1
6,Internet,RoundTrip,303,4,2,6,HKTSYD,Australia,0,0,1,8.58,0
2,Internet,RoundTrip,110,48,3,1,KNOSYD,Indonesia,1,0,0,8.58,0
1,Internet,RoundTrip,233,17,11,2,AKLKUL,New Zealand,1,0,0,8.83,0
1,Mobile,RoundTrip,36,29,4,4,OOLTPE,Australia,1,0,1,8.83,0
1,Internet,RoundTrip,168,33,5,7,DMKPER,Australia,0,0,0,5.62,0
2,Internet,RoundTrip,245,17,9,7,HKTOOL,Australia,1,0,0,8.83,0
1,Internet,RoundTrip,134,6,5,3,JHBPUS,Malaysia,1,0,1,6.33,1
1,Internet,RoundTrip,91,6,11,7,HNDLGK,Japan,0,1,0,7.57,0
